0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117063,0.0131772,0.0147901,0.0167657,0.0187036,0.0208152,0.0231142,0.025615,0.0283373,0.0312994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110421,0.0124287,0.0141488,0.0158289,0.0176659,0.0196726,0.0218628,0.0242548,0.0268661
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104444,0.0119404,0.0133961,0.014993,0.0167434,0.0186602,0.0207605,0.0230607
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100766,0.0113372,0.0127246,0.0142504,0.0159268,0.0177696,0.0197943
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095947,0.0107994,0.0121286,0.0135938,0.0152096,0.0169906
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091654,0.0103227,0.0116025,0.0130184,0.014584
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087857,0.0099029,0.0111428,0.0125183
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084523,0.0095375,0.0107451
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081635,0.0092232
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079168
